This auto splitter uses WASI. The API is subject to change, because WASI is still in preview. Auto splitters using WASI may need to be recompiled in the future.
Auto splitter restarted.
Hello, World!
Attached to a new process: Hollow Knight
attaching SceneManager...
attaching Module...
attaching Image...
attached SceneManager, Module, and Image successfully
GameManager versionNumber: "1.5.78.11833"
PlayerData version: "1.5.78.11833"
GameManager sceneName: "Menu_Title"
GameManager nextSceneName: ""
PlayerData fireballLevel: 0
PlayerData hasDash: false
PlayerData hasShadowDash: false
PlayerData hasWalljump: false
PlayerData hasDoubleJump: false
PlayerData hasSuperDash: false
PlayerData hasAcidArmour: false
PlayerData hasDreamNail: false
PlayerData hasDreamGate: false
PlayerData dreamNailUpgraded: false
PlayerData hasCyclone: false
PlayerData hasDashSlash: false
PlayerData hasUpwardSlash: false
PlayerData maxHealthBase: 5
PlayerData maxHealth: 5
PlayerData health: 5
PlayerData healthBlue: 0
PlayerData joniHealthBlue: 0
PlayerData damagedBlue: 0
PlayerData prevHealth: 5
PlayerData heartPieces: 0
PlayerData MPCharge: 0
PlayerData hasLantern: false
PlayerData simpleKeys: 0
PlayerData hasSlykey: false
PlayerData hasWhiteKey: false
PlayerData gotCharm_31: false
PlayerData grubsCollected: 0
PlayerData killedBigFly: false
PlayerData killsBigFly: 3
PlayerData slyRescued: false
PlayerData killedGorgeousHusk: false
PlayerData metRelicDealerShop: false
PlayerData watcherChandelier: false
PlayerData killedBlackKnight: false
PlayerData killedMegaJellyfish: false
PlayerData spiderCapture: false
PlayerData unchainedHollowKnight: false
PlayerData killedSpitter: false
PlayerData killsSpitter: 20
PlayerData killedSuperSpitter: false
PlayerData killsSuperSpitter: 25
PlayerData killedBuzzer: false
PlayerData killsBuzzer: 45
PlayerData killedBigBuzzer: false
PlayerData killsBigBuzzer: 2
PlayerData killedBurstingBouncer: false
PlayerData killsBurstingBouncer: 15
PlayerData killedColShield: false
PlayerData killsColShield: 25
PlayerData killedColRoller: false
PlayerData killsColRoller: 20
PlayerData killedColMiner: false
PlayerData killsColMiner: 25
PlayerData killedColWorm: false
PlayerData killsColWorm: 20
PlayerData killedColFlyingSentry: false
PlayerData killsColFlyingSentry: 25
PlayerData killedColMosquito: false
